Host : clust2
Date : Fri Apr 18 03:42:22 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 90: Espilon = 3715.4480, ESS = 734 Acc. rate = 6.40% Uniqueness rate particules = 79.5% Uniqueness rate components = 79.5% Global parameters uniqueness rate = 79.5%

Iteration 91: Espilon = 3663.2819, ESS = 697 Acc. rate = 8.03% Uniqueness rate particules = 80.6% Uniqueness rate components = 80.6% Global parameters uniqueness rate = 80.6%

Iteration 92: Espilon = 3602.3049, ESS = 662 Acc. rate = 6.19% Uniqueness rate particules = 81.2% Uniqueness rate components = 81.2% Global parameters uniqueness rate = 81.2%

Iteration 93: Espilon = 3549.0716, ESS = 628 Acc. rate = 8.28% Uniqueness rate particules = 82.3% Uniqueness rate components = 82.3% Global parameters uniqueness rate = 82.3%

Iteration 94: Espilon = 3506.5057, ESS = 596 Acc. rate = 9.06% Uniqueness rate particules = 82.8% Uniqueness rate components = 82.8% Global parameters uniqueness rate = 82.8%

Iteration 95: Espilon = 3438.8368, ESS = 566 Acc. rate = 5.30% Uniqueness rate particules = 83.5% Uniqueness rate components = 83.5% Global parameters uniqueness rate = 83.5%

Iteration 96: Espilon = 3386.6843, ESS = 537 Acc. rate = 6.52% Uniqueness rate particules = 84.1% Uniqueness rate components = 84.1% Global parameters uniqueness rate = 84.1%

Iteration 97: Espilon = 3322.8253, ESS = 510 Acc. rate = 5.10% Uniqueness rate particules = 84.5% Uniqueness rate components = 84.5% Global parameters uniqueness rate = 84.5%

Resampling... 437 unique particles left
Iteration 98: Espilon = 3266.7098, ESS = 1000 Acc. rate = 4.90% Uniqueness rate particules = 48.5% Uniqueness rate components = 48.5% Global parameters uniqueness rate = 48.5%

Iteration 99: Espilon = 3230.8164, ESS = 952 Acc. rate = 7.14% Uniqueness rate particules = 54.3% Uniqueness rate components = 54.3% Global parameters uniqueness rate = 54.3%

Iteration 100: Espilon = 3199.7996, ESS = 904 Acc. rate = 6.08% Uniqueness rate particules = 58.3% Uniqueness rate components = 58.3% Global parameters uniqueness rate = 58.3%

Iteration 101: Espilon = 3146.7824, ESS = 858 Acc. rate = 4.55% Uniqueness rate particules = 60.4% Uniqueness rate components = 60.4% Global parameters uniqueness rate = 60.4%

Iteration 102: Espilon = 3103.8778, ESS = 815 Acc. rate = 5.03% Uniqueness rate particules = 63.1% Uniqueness rate components = 63.1% Global parameters uniqueness rate = 63.1%

Iteration 103: Espilon = 3063.4998, ESS = 774 Acc. rate = 3.36% Uniqueness rate particules = 64.5% Uniqueness rate components = 64.5% Global parameters uniqueness rate = 64.5%

Iteration 104: Espilon = 3010.0725, ESS = 735 Acc. rate = 4.49% Uniqueness rate particules = 66.4% Uniqueness rate components = 66.4% Global parameters uniqueness rate = 66.4%

Iteration 105: Espilon = 2949.4582, ESS = 698 Acc. rate = 4.73% Uniqueness rate particules = 67.9% Uniqueness rate components = 67.9% Global parameters uniqueness rate = 67.9%

Iteration 106: Espilon = 2895.4244, ESS = 666 Acc. rate = 4.05% Uniqueness rate particules = 69.0% Uniqueness rate components = 69.0% Global parameters uniqueness rate = 69.0%

Iteration 107: Espilon = 2850.7814, ESS = 633 Acc. rate = 4.58% Uniqueness rate particules = 70.0% Uniqueness rate components = 70.0% Global parameters uniqueness rate = 70.0%

Iteration 108: Espilon = 2821.8762, ESS = 605 Acc. rate = 5.29% Uniqueness rate particules = 71.0% Uniqueness rate components = 71.0% Global parameters uniqueness rate = 71.0%

Iteration 109: Espilon = 2804.6523, ESS = 577 Acc. rate = 4.68% Uniqueness rate particules = 71.8% Uniqueness rate components = 71.8% Global parameters uniqueness rate = 71.8%

Iteration 110: Espilon = 2772.1012, ESS = 549 Acc. rate = 4.55% Uniqueness rate particules = 72.4% Uniqueness rate components = 72.4% Global parameters uniqueness rate = 72.4%

Iteration 111: Espilon = 2731.5241, ESS = 521 Acc. rate = 4.99% Uniqueness rate particules = 73.2% Uniqueness rate components = 73.2% Global parameters uniqueness rate = 73.2%

Resampling... 407 unique particles left
Iteration 112: Espilon = 2694.5247, ESS = 1000 Acc. rate = 3.80% Uniqueness rate particules = 44.4% Uniqueness rate components = 44.4% Global parameters uniqueness rate = 44.4%

Iteration 113: Espilon = 2664.0574, ESS = 950 Acc. rate = 5.05% Uniqueness rate particules = 49.1% Uniqueness rate components = 49.1% Global parameters uniqueness rate = 49.1%

Iteration 114: Espilon = 2637.3384, ESS = 902 Acc. rate = 4.43% Uniqueness rate particules = 52.5% Uniqueness rate components = 52.5% Global parameters uniqueness rate = 52.5%

Iteration 115: Espilon = 2598.7542, ESS = 857 Acc. rate = 5.48% Uniqueness rate particules = 56.6% Uniqueness rate components = 56.6% Global parameters uniqueness rate = 56.6%

Iteration 116: Espilon = 2550.7828, ESS = 816 Acc. rate = 3.68% Uniqueness rate particules = 58.9% Uniqueness rate components = 58.9% Global parameters uniqueness rate = 58.9%

Iteration 117: Espilon = 2509.1062, ESS = 775 Acc. rate = 5.29% Uniqueness rate particules = 61.8% Uniqueness rate components = 61.8% Global parameters uniqueness rate = 61.8%

Iteration 118: Espilon = 2450.5364, ESS = 736 Acc. rate = 3.67% Uniqueness rate particules = 63.2% Uniqueness rate components = 63.2% Global parameters uniqueness rate = 63.2%

